year_played,bb_bucket,out,single,double,triple,home_run
2024,10-20deg: 90-95mph,0.358434633,0.501457073,0.121190001,0.012791817,0.006126476
2024,10-20deg: 95-100mph,0.344435333,0.446057253,0.191088593,0.017959075,0.000459746
2024,10-20deg: <90mph,0.304227826,0.622353123,0.069560503,0.003858548,0
2024,10deg: 100-105mph,0.554363134,0.393298963,0.049299861,0.002976321,6.17208E-05
2024,10deg: 105+mph,0.472798824,0.454602764,0.068820294,0.003778118,0
2024,10deg: 90-95mph,0.728349614,0.238324352,0.03156154,0.001764495,0
2024,10deg: 95-100mph,0.64177239,0.317836633,0.037289713,0.003101263,0
2024,10deg: <90mph,0.840427902,0.146293817,0.012876225,0.000402056,0
2024,20-30deg: 100-105mph,0.299020251,0.013049906,0.225702369,0.027227218,0.435000256
2024,20-30deg: 105+mph,0.049669569,0.01058375,0.11510798,0.010098511,0.814540189
2024,20-30deg: 90-95mph,0.851361562,0.021899577,0.102299409,0.009501878,0.014937575
2024,20-30deg: 95-100mph,0.648021121,0.013657678,0.194023031,0.021952535,0.122345635
2024,20-30deg: <90mph,0.592427782,0.339703467,0.061994182,0.005844528,3.00409E-05
2024,30-40deg: 100-105mph,0.496246647,0.000964929,0.031138881,0.01349128,0.458158264
2024,30-40deg: 105+mph,0.167397335,0.002344619,0.011825005,0.003546256,0.814886785
2024,30-40deg: 90-95mph,0.935593854,0.000622963,0.026703702,0.004779428,0.032300053
2024,30-40deg: 95-100mph,0.797280633,0.001824427,0.034972125,0.010385392,0.155537422
2024,30-40deg: <90mph,0.839014335,0.129459585,0.028555058,0.002347518,0.000623504
2024,40-50deg: 100-105mph,0.910917305,0.001250956,0.01661722,0.002488015,0.068726505
2024,40-50deg: 105+mph,0.639276605,0.010802761,0.014901121,0.001633987,0.333385526
2024,40-50deg: 90-95mph,0.99422148,0.000979246,0.002938067,0.000784674,0.001076532
2024,40-50deg: 95-100mph,0.96997311,0.000835537,0.010701071,0.002638198,0.015852083
2024,40-50deg: <90mph,0.921621873,0.058243634,0.019798435,0.000336058,0
2024,50+deg,0.986093815,0.008551185,0.005236575,8.93183E-05,2.9107E-05
