pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z
571527,"Buchanan, David",2024,R,58,113,54,-1.173899945,6.254564226,0.205952914,4.369454908
641927,"Ober, Bailey",2024,R,2692,142,35,-2.197338226,5.985588055,-0.165013704,4.560944401
663432,"Rainey, Tanner",2024,R,939,120,38,-2.120202667,6.097647462,-0.275108622,4.67202831
608648,"Duffey, Tyler",2024,R,189,118,25,-2.370795949,5.684889343,-0.227305759,4.692201069
682120,"Herrin, Tim",2024,L,990,114,31,2.376196064,5.720243414,0.370428853,4.517394168
607625,"Lugo, Seth",2024,R,3194,118,33,-2.205276535,5.487868024,-0.170321829,4.185603284
673929,"Leasure, Jordan",2024,R,560,145,52,-1.143690697,5.894459564,0.259768744,4.099220771
650633,"King, Michael",2024,R,2908,135,29,-2.146712968,5.49924137,-0.190390374,4.402903774
656266,"Bukauskas, J.B.",2024,R,88,158,19,-2.565023502,5.167075221,-0.503033208,4.467429292
686730,"Spiers, Carson",2024,R,1554,113,30,-2.039690832,5.318771057,-0.079623404,4.180772751
624522,"Thompson, Keegan",2024,R,538,112,38,-1.807187258,5.821872214,-0.030216305,4.447020642
592779,"Stewart, Brock",2024,R,268,142,27,-2.31867504,5.37191976,-0.187594532,4.268934115
663947,"Holton, Tyler",2024,L,1358,116,43,1.722908101,5.890632053,0.043694854,4.317092026
681867,"Criswell, Cooper",2024,R,1755,111,12,-2.79725115,4.977229631,-0.39934396,4.450454475
663436,"Martin, Davis",2024,R,892,145,39,-1.999808277,5.998520422,-0.22209126,4.536434285
674444,"Cruz, Steven",2024,R,82,118,32,-2.328663861,5.608805289,-0.350907687,4.364144542
681869,"Dubin, Shawn",2024,R,840,117,40,-1.877449533,5.788689079,-0.098667985,4.314818428
690829,"Joyce, Ben",2024,R,541,108,28,-2.140311066,5.210122504,-0.03887459,4.099678441
701581,"Festa, David",2024,R,1099,142,56,-0.951203354,6.154696488,0.354048825,4.190241023
642701,"Santana, Dennis",2024,R,1106,134,32,-2.401018576,5.741332002,-0.342628756,4.440307998
650893,"Cabrera, Génesis",2024,L,1030,141,45,1.539473394,5.925805224,-0.167989518,4.21790589
681870,"Sabrowski, Erik",2024,L,198,114,52,1.147070318,6.039903341,-0.328564482,4.158556797
656271,"Burke, Brock",2024,L,575,108,41,1.948851079,6.270215231,0.14937078,4.7089279
681871,"Villalobos, Eli",2024,R,71,146,47,-1.16964721,6.113601838,0.362260568,4.474182786
621199,"Bowman, Matt",2024,R,497,110,36,-1.656560004,5.732351054,-0.013867726,4.526699938
650895,"Castillo, Diego",2024,R,177,142,33,-2.355290472,5.871956185,-0.274221148,4.526495625
664208,"Maton III, Phil",2024,R,1068,121,31,-2.135761154,5.326291518,-0.21351292,4.165103304
702352,"Bivens, Spencer",2024,R,768,137,32,-2.267581422,5.971022547,-0.299073728,4.746984803
656529,"Hentges, Sam",2024,L,351,114,39,1.858926488,6.432973803,-0.099043944,4.838849302
595345,"Okert, Steven",2024,L,616,142,33,2.460110552,5.73228196,0.447693617,4.402288028
683409,"Chivilli, Angel",2024,R,513,115,40,-1.8767931,5.924572997,0.011139889,4.336865347
686993,"Sterner, Justin",2024,R,64,139,41,-1.712302109,5.574872616,-0.086982424,4.186142724
570257,"Rodríguez, Joely",2024,L,249,111,31,2.200863694,5.521621416,0.196353427,4.302855857
656786,"Mushinski, Parker",2024,L,194,117,48,1.51095354,5.607893429,0.053507105,4.008429916
669330,"Wells, Tyler",2024,R,259,110,50,-1.44502758,6.872503214,0.156369211,4.931536654
594835,"Gonzales, Marco",2024,L,546,134,37,1.8164322,5.413874874,0.142613996,4.142039839
661395,"Duran, Jhoan",2024,R,881,142,34,-2.0905064,5.948988128,-0.067970795,4.606181891
676755,"Mattson, Isaac",2024,R,100,134,49,-1.656666785,6.011211578,-0.150815811,4.275233202
683155,"Estes, Joey",2024,R,2027,133,37,-1.782555973,5.862636213,0.032571257,4.479246618
571539,"Carasiti, Matt",2024,R,170,115,36,-1.708028062,5.885067184,0.074982323,4.568418809
641427,"Busenitz, Alan",2024,R,75,113,40,-1.639984073,6.0475674,0.069627723,4.633581778
647315,"Pop, Zach",2024,R,736,141,30,-2.435624101,5.425846525,-0.334588844,4.228320606
657044,"Thompson, Ryan",2024,R,977,109,-6,-3.364642491,3.794305012,-0.881876995,4.047886659
594580,"Moll, Sam",2024,L,624,113,17,2.198361302,5.019438305,0.084350902,4.392262177
650644,"Civale, Aaron",2024,R,2727,158,46,-1.340717614,6.37144627,0.19744888,4.790242458
675989,"Bolton, Cody",2024,R,312,136,33,-1.957877935,5.403441692,0.02219269,4.126448099
687765,"Spence, Mitch",2024,R,2481,133,47,-1.667230162,6.206036402,-0.093042386,4.494798861
641941,"Pagán, Emilio",2024,R,593,113,41,-1.572713002,5.657344094,0.148576041,4.134691482
670102,"Francis, Bowden",2024,R,1558,141,40,-1.860114681,5.917140865,-0.097455351,4.426798382
544150,"Suárez, Albert",2024,R,2233,110,40,-1.778511095,6.231944493,0.023426443,4.719263563
592791,"Taillon, Jameson",2024,R,2483,112,45,-1.57753229,6.136257457,0.06800486,4.491315143
670103,"Burgos, Raymond",2024,L,25,137,24,2.393227037,5.814663647,0.164743904,4.806526417
605335,"Leibrandt, Brandon",2024,L,117,113,52,1.507837025,6.181309966,0.047989829,4.330349557
670871,"Zuñiga, Guillo",2024,R,271,108,25,-2.497240934,5.879619772,-0.326191678,4.861108223
663704,"McArthur, James",2024,R,904,118,32,-2.137413447,5.775766274,0.009846918,4.439785461
676760,"Marinaccio, Ron",2024,R,395,147,34,-2.089390805,5.354743218,-0.166060669,4.064283467
656793,"Nelson, Nick",2024,R,96,143,48,-1.605436866,5.637529754,-0.187904676,4.057787402
656794,"Newcomb, Sean",2024,L,184,133,39,2.086019818,6.258938432,0.100435839,4.660530789
600986,"Vieira, Thyago",2024,R,737,109,47,-1.549334395,6.055756817,0.059679172,4.335625239
681882,"Selby, Colin",2024,R,112,110,50,-1.307364414,5.712296523,0.245844438,3.875131088
661403,"Clase, Emmanuel",2024,R,983,114,53,-1.254590072,6.051747441,0.170125772,4.138711776
671131,"Rutledge, Jackson",2024,R,139,120,38,-1.9521997,6.117370139,-0.141407023,4.702510754
686747,"La Sorsa, Joe",2024,L,271,120,19,2.638013966,5.342746901,0.432041204,4.56719771
622491,"Castillo, Luis",2024,R,2852,136,15,-2.473328916,5.02643802,-0.163504738,4.392772322
502171,"Cobb, Alex",2024,R,242,114,36,-2.294331796,5.54649068,-0.523573173,4.258246568
450203,"Morton, Charlie",2024,R,2789,144,21,-2.603146173,5.459886456,-0.261229173,4.568927846
669084,"Hall, DL",2024,L,782,158,43,1.746178419,5.505122413,0.096814255,3.950480495
607644,"Means, John",2024,L,320,110,45,1.537417649,6.404824996,-0.052015031,4.808776503
676508,"Casparius, Ben",2024,R,156,119,42,-1.657474163,6.005947038,0.065927769,4.443682901
677020,"Walker, Josh",2024,L,215,121,42,1.887954382,6.163292409,0.083576178,4.519605529
657053,"Toussaint, Touki",2024,R,491,145,32,-2.183106281,5.573929287,-0.163151152,4.295896398
669854,"Blanco, Ronel",2024,R,2699,117,46,-1.477616206,6.118267977,0.071682773,4.486559516
676254,"Walker, Ryan",2024,R,1206,137,17,-2.85541654,5.180551179,-0.559706529,4.474054644
613534,"Adams, Austin",2024,R,805,133,11,-2.746654496,5.187591575,-0.535605726,4.76777026
519326,"Strickland, Hunter",2024,R,1157,108,32,-2.301708015,5.880669633,-0.315663562,4.653020648
543135,"Eovaldi, Nathan",2024,R,2621,140,33,-2.605614468,5.507355838,-0.575454586,4.210155175
543391,"Kelly, Casey",2024,R,78,113,52,-1.337696286,6.518818529,0.157081297,4.608407112
489119,"Miley, Wade",2024,L,118,158,50,1.603491826,6.236789417,0.137279826,4.507688264
